Name,Profile,Tier,Gold,Silver,Bronze,Points
Krishna,https://www.kaggle.com/veeralakrishna,expert,0,2,1,22019
Andrew Shevelev,https://www.kaggle.com/andrewshevelev,expert,0,2,4,21983
Neuron Engineer,https://www.kaggle.com/ratthachat,expert,0,7,4,21961
Sergey Zhitansky,https://www.kaggle.com/szhitansky,master,1,2,12,21933
hughes@universe,https://www.kaggle.com/cengc13,master,1,2,0,21885
YuyaYamamoto,https://www.kaggle.com/nejumi,master,3,7,1,21884
KF,https://www.kaggle.com/kfujikawa,master,3,1,0,21826
Youngsoo Lee,https://www.kaggle.com/yslee04,master,3,2,5,21819
SeongHun Jeong,https://www.kaggle.com/sunghun,master,1,3,0,21776
Moiz Saifee,https://www.kaggle.com/moizsaifee,master,2,5,4,21719
Dr. Knope,https://www.kaggle.com/drknope,master,1,6,5,21710
Reza,https://www.kaggle.com/vaghefi,master,1,5,0,21662
Eric Vos,https://www.kaggle.com/a45632,expert,0,5,7,21637
infinitezxc,https://www.kaggle.com/infinite,master,2,3,0,21630
bluetrain,https://www.kaggle.com/stecasasso,master,2,6,2,21581
Eric Freeman,https://www.kaggle.com/ericfreeman,expert,0,4,1,21539
ChienYiChi,https://www.kaggle.com/ericji,master,1,2,4,21531
Chia-Ta Tsai,https://www.kaggle.com/cttsai,expert,0,4,5,21430
guchio3,https://www.kaggle.com/guchio3,master,2,5,1,21424
Santiago Mota,https://www.kaggle.com/santiagomota,master,1,5,11,21404
kurupical,https://www.kaggle.com/kurupical,master,2,4,2,21251
ggsddu,https://www.kaggle.com/tianshuaifei,master,2,8,3,21247
Praveen Adepu,https://www.kaggle.com/praveenadepu,master,3,6,6,21185
Btbpanda,https://www.kaggle.com/btbpanda,master,4,4,3,21180
Kartik Godawat,https://www.kaggle.com/crazydiv,expert,0,4,11,21176
Ivan Sosin,https://www.kaggle.com/sawseen,master,5,3,0,21109
Mykhailo Matviiv,https://www.kaggle.com/firenero,master,2,2,3,21054
Artur Ispiriants,https://www.kaggle.com/aispiriants,master,2,2,3,21054
innerpeace,https://www.kaggle.com/bestpredict,master,2,9,2,21040
Alan Lahoud,https://www.kaggle.com/lahoudalan,expert,1,0,1,20925
kaerururu,https://www.kaggle.com/kaerunantoka,master,2,1,2,20923
rishigami,https://www.kaggle.com/rishigami,master,1,4,1,20884
RLin,https://www.kaggle.com/phoenixl,master,2,1,0,20742
bmci,https://www.kaggle.com/bmcinnovo,master,1,8,14,20696
Anastasia Karpovich,https://www.kaggle.com/user189546,master,3,2,0,20631
Evgeny Kononenko,https://www.kaggle.com/lenny27,master,1,4,0,20629
Alex Parinov,https://www.kaggle.com/creafz,master,3,10,9,20580
Fengari,https://www.kaggle.com/fengari,grandmaster,7,14,5,20547
WispZero,https://www.kaggle.com/wispzero,master,1,9,3,20514
Chau Huynh,https://www.kaggle.com/chauhuynh,master,2,8,7,20502
A. Fischer,https://www.kaggle.com/lauanlo,expert,2,0,0,20499
F. Fischer,https://www.kaggle.com/frankfisc,expert,2,0,0,20499
ishtos,https://www.kaggle.com/tiginkgo,master,1,4,0,20418
Robin N,https://www.kaggle.com/robin111,master,2,2,0,20334
atom1231,https://www.kaggle.com/atom1231,master,2,7,4,20319
Phi,https://www.kaggle.com/ajinomoto132,master,1,5,4,20311
清水河小栗旬,https://www.kaggle.com/firstbloody,expert,1,1,1,20281
lucaskg,https://www.kaggle.com/lucaskg,master,2,6,5,20127
loveisp,https://www.kaggle.com/loveisp,expert,0,4,9,20126
Chundi Liu,https://www.kaggle.com/chundi,master,4,1,1,20016
Jeremy Ma,https://www.kaggle.com/junweima,expert,2,0,0,20003
Mark Conway,https://www.kaggle.com/mconway,expert,0,0,4,19995
u++,https://www.kaggle.com/sishihara,master,1,3,2,19980
Lukasz Grad,https://www.kaggle.com/lukeeee,master,2,6,1,19950
xie,https://www.kaggle.com/crabapple,master,3,3,1,19947
Frank Puk,https://www.kaggle.com/pukkinming,expert,1,1,5,19801
Strideradu,https://www.kaggle.com/strideradu,master,4,10,5,19775
Hirokazu Takoi,https://www.kaggle.com/takoihiraokazu,master,2,5,0,19775
程序,https://www.kaggle.com/xucheng,master,3,8,3,19770
JIANJIAN,https://www.kaggle.com/buaazijian,master,2,3,1,19745
JohnM,https://www.kaggle.com/jpmiller,expert,0,9,20,19722
Fatih,https://www.kaggle.com/fatihozturk,grandmaster,6,4,2,19674
Patrick Chan,https://www.kaggle.com/drpatrickchan,master,1,7,15,19625
kenmatsu4,https://www.kaggle.com/kenmatsu4,master,1,6,5,19525
Lam Dang,https://www.kaggle.com/lamdang,master,4,1,2,19490
Li-Der,https://www.kaggle.com/liderchang,master,3,21,5,19488
zhongtian,https://www.kaggle.com/kmtbang,master,2,6,3,19422
jonney,https://www.kaggle.com/swsuh2003,master,1,11,2,19349
digimagi,https://www.kaggle.com/digimagi,expert,0,2,2,19344
funkyboy,https://www.kaggle.com/super13579,master,1,4,4,19334
lli,https://www.kaggle.com/lisali,master,1,7,4,19330
Bo Peng,https://www.kaggle.com/bopengiowa,expert,0,4,4,19281
Satya Krishna Gorti,https://www.kaggle.com/satyakrishnagorti,expert,2,0,0,19262
Pavel Hanchar,https://www.kaggle.com/pavelgonchar,master,2,4,1,19217
Siavash,https://www.kaggle.com/siavrez,expert,0,7,2,19213
Amit Kumar Jaiswal,https://www.kaggle.com/amitkumarjaiswal,expert,0,3,9,19172
Gleb Anferov,https://www.kaggle.com/hitman47,master,2,7,4,19158
Pavel Tsai,https://www.kaggle.com/avens8,master,1,3,1,19033
Baba Firas,https://www.kaggle.com/rinnqd,master,1,7,1,19013
Ruslan Talipov,https://www.kaggle.com/rooshroosh,master,1,2,4,18934
jionie,https://www.kaggle.com/jionie,master,1,6,4,18894
NguyenThanhNhan,https://www.kaggle.com/andy2709,master,2,9,1,18882
Mike,https://www.kaggle.com/zerrxy,master,2,6,2,18694
Anton Chikin,https://www.kaggle.com/achikin,expert,0,6,4,18687
thousandvoices,https://www.kaggle.com/thousandvoices,grandmaster,5,2,1,18674
Gilles Vandewiele,https://www.kaggle.com/group16,expert,1,1,1,18564
Mark Peng,https://www.kaggle.com/markpeng,master,2,8,7,18554
Oleg Panichev,https://www.kaggle.com/opanichev,master,2,8,11,18514
poteman,https://www.kaggle.com/poteman,master,3,10,7,18457
Greg Hamel,https://www.kaggle.com/hamelg,expert,0,4,8,18437
Marius K,https://www.kaggle.com/abujaman,expert,1,1,0,18425
TI,https://www.kaggle.com/toshinoue,expert,0,2,10,18423
4ui_iurz1,https://www.kaggle.com/uiiurz1,master,2,5,1,18422
qudade,https://www.kaggle.com/datenkieker,expert,0,0,7,18338
ryches,https://www.kaggle.com/ryches,master,2,4,2,18310
nzholmes,https://www.kaggle.com/nzholmes,master,1,3,0,18291
Miguel Pinto,https://www.kaggle.com/mnpinto,master,1,4,2,18242
Niranjan Singh,https://www.kaggle.com/niranjanmaisnam,expert,0,3,7,18214
Vlado Boza,https://www.kaggle.com/usamec,grandmaster,6,2,3,18138
Tetyana Yatsenko,https://www.kaggle.com/tetyanayatsenko,master,1,2,8,18132
